canonical_smiles,pIC50,activite,tsne1,tsne2,pca1,pca2
Brc1cccc(Nc2ncnc3c2[nH]c2ccccc23)c1,7.142667503568731,actif,-1.1083623,53.73113,0.49587860699265823,0.8689901257506211
Brc1cccc(Nc2ncnc3c2[nH]c2ccccc23)c1.Cl,7.0835460514500745,actif,-1.1100463,53.732235,0.499990087618004,0.8698688168831379
Brc1cccc(Nc2ncnc3c2ccc2[nH]cnc23)c1,6.565431095965801,actif,0.033565667,53.698147,0.7031440150836147,1.184068810506147
Brc1cccc(Nc2ncnc3c2oc2ccccc23)c1,6.130768280269024,actif,0.23094079,54.677406,0.7245607428829589,0.8634572145247459
Brc1cccc(Nc2ncnc3c2sc2ccccc23)c1,7.066006836168758,actif,0.46164477,55.15419,0.5941132094521061,0.9858512626542686
Brc1cccc(Nc2ncnc3c2sc2ncccc23)c1,6.135488918941608,actif,0.51751006,55.411503,0.5263838875998217,0.9766774674924275
Brc1cccc(Nc2ncnc3c2sc2ncsc23)c1.CO,7.397940008672037,actif,1.0802971,55.91018,0.5438473374675276,0.7551055332024383
Brc1cccc(Nc2ncnc3cc(NCCCCN4CCOCC4)ncc23)c1,8.268814292365999,actif,33.628044,43.46685,1.572642977538493,1.3131300256751872
Brc1cccc(Nc2ncnc3cc(NCCCN4CCOCC4)ncc23)c1,8.720105019988361,actif,33.61397,43.471455,1.552799774607404,1.3059803709649955
Brc1cccc(Nc2ncnc3cc(NCCCn4ccnc4)ncc23)c1,9.291196817055418,actif,12.272848,53.957813,1.4133561406238981,1.2709551157670977
Brc1cccc(Nc2ncnc3cc(NCCN4CCOCC4)ncc23)c1,8.489991487059765,actif,33.556114,43.506462,1.5038699458727895,1.3079408992512274
Brc1cccc(Nc2ncnc3cc(NCCc4c[nH]cn4)ncc23)c1,9.040481623027002,actif,11.526325,54.85338,1.306852576014939,1.3566968141615554
Brc1cccc(Nc2ncnc3cc(OCCCN4CCOCC4)c4c(c23)OCCO4)c1,7.733298033115912,actif,34.44914,43.174133,1.9115680999661326,0.8566663348559307
Brc1cccc(Nc2ncnc3cc4[nH]cc(CN5CCOCC5)c4cc23)c1,8.019996628416253,actif,33.16724,43.96292,1.76869838326337,1.2407618795287836
Brc1cccc(Nc2ncnc3cc4[nH]ccc4cc23)c1,9.356547323513812,actif,6.714289,51.30679,1.6183105243719174,1.184389050497143
Brc1cccc(Nc2ncnc3cc4[nH]cnc4cc23)c1,11.096910013008056,actif,6.8939066,51.22727,1.6550220459795486,1.3154503440531622
Brc1cccc(Nc2ncnc3cc4[nH]ncc4cc23)c1,9.356547323513812,actif,6.6744785,51.49306,1.4490075631105392,1.1823302090498178
Brc1cccc(Nc2ncnc3cc4[nH]nnc4cc23)c1,8.387216143280265,actif,6.9076204,51.207558,1.6433573258622203,1.311548666380655
Brc1cccc(Nc2ncnc3cc4c(cc23)CN4)c1,9.36001575195841,actif,6.960433,50.96318,1.562933900792544,1.241802815985457
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCCO4)c1,7.070581074285707,actif,8.8281145,46.62987,1.8761094768271447,1.3027997544327108
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCCSCCCO4)c1,6.297569463554475,actif,8.816469,46.642944,1.8512827327149135,1.293057000401616
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCO4)c1,7.8371370066780734,actif,8.8225355,46.622723,1.8860551189282526,1.324750133913324
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCO4)c1,7.259637310505756,actif,8.906961,46.50248,1.9121516004698964,1.3289858367940783
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)c1,7.560667306169737,actif,8.906961,46.50248,1.9121516004698964,1.3289858367940783
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCOCOCOCCO4)c1,7.560667306169737,actif,8.877192,46.55489,1.8974915835755735,1.3211163358767102
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCSCCO4)c1,6.298000525110363,actif,8.806953,46.635406,1.8643080867249577,1.3144375976668385
Brc1cccc(Nc2ncnc3cc4c(cc23)OCO4)c1,7.823908740944319,actif,8.718601,46.88787,1.8291743015150892,1.3053922720377762
Brc1cccc(Nc2ncnc3cc4c(cc23)Oc2ccccc2O4)c1,6.920818753952375,actif,8.438957,47.914513,1.826478767256062,1.2107719634177085
Brc1cccc(Nc2ncnc3cc4c(ccn4CCCN4CCOCC4)cc23)c1,7.110026361596004,actif,33.394142,43.524113,1.8623053479692575,1.0445398505564663
