canonical_smiles,pIC50,activite,famille
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCO4)c1,7.259637310505756,actif,1
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)c1,7.560667306169737,actif,1
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCOCOCOCCO4)c1,7.560667306169737,actif,1
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCSCCO4)c1,6.298000525110363,actif,1
Brc1cccc(Nc2ncnc3cc4c(cc23)OCO4)c1,7.823908740944319,actif,1
Brc1cccc(Nc2ncnc3cc4c(cc23)Oc2ccccc2O4)c1,6.920818753952375,actif,1
Brc1cccc(Nc2ncnc3cc4c(ccn4CCCN4CCOCC4)cc23)c1,7.110026361596004,actif,1
Brc1cccc(Nc2ncnc3cc4c(ccn4CCN4CCOCC4)cc23)c1,7.79997073344623,actif,1
Brc1cccc(Nc2ncnc3cc4c(cnn4CCCN4CCOCC4)cc23)c1,7.367542707815276,actif,1
Brc1cccc(Nc2ncnc3cc4c(cnn4CCN4CCOCC4)cc23)c1,6.719991046891814,actif,1
Brc1cccc(Nc2ncnc3cc4c[nH]nc4cc23)c1,9.468521082957745,actif,1
Brc1cccc(Nc2ncnc3cc4ccccc4cc23)c1,11.522878745280336,actif,1
Brc1cccc(Nc2ncnc3cc4nccnc4cc23)c1,8.769551078621726,actif,1
Brc1cccc(Nc2ncnc3cc4ncsc4cc23)c1,7.356547323513812,actif,1
Brc1cccc(Nc2ncnc3ccc(N/N=N/CCN4CCOCC4)cc23)c1,7.1938200260161125,actif,1
Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccc4)cc23)c1,7.602059991327962,actif,1
Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccn4)cc23)c1,6.623423042943488,actif,1
Brc1cccc(Nc2ncnc3ccc(NCCCN4CCCCC4)cc23)c1,8.769551078621726,actif,1
Brc1cccc(Nc2ncnc3ccc(NCc4ccc5c(c4)OCCCCO5)cc23)c1,5.943095148663527,intermediaire,1
Brc1cccc(Nc2ncnc3ccc(NCc4ccc5c(c4)OCCCO5)cc23)c1,7.008773924307505,actif,1
Brc1cccc(Nc2ncnc3ccc(NCc4ccc5c(c4)OCCO5)cc23)c1,5.991399828238082,intermediaire,1
Brc1cccc(Nc2ncnc3ccc(NCc4ccc5c(c4)OCO5)cc23)c1,6.200659450546418,actif,1
Brc1cccc(Nc2ncnc3ccc4[nH]cnc4c23)c1,7.5376020021010435,actif,1
Brc1cccc(Nc2ncnc3ccc4c(c23)OCCN4)c1,6.919012953089113,actif,1
Brc1cccc(Nc2ncnc3ccc4cc[nH]c4c23)c1,8.906578314837764,actif,1
Brc1cccc(Nc2ncnc3ccccc23)c1,7.568636235841013,actif,1
Brc1cccc(Nc2ncnc3cccnc23)c1,7.464262948269776,actif,1
Brc1cccc(Nc2ncnc3ccncc23)c1,7.452964100259989,actif,1
Brc1cccc(Nc2ncnc3ccncc23)c1NCCCCN1CCOCC1,8.260032303240491,actif,1
Brc1cccc(Nc2ncnc3ccncc23)c1NCCCN1CCOCC1,8.720105019988361,actif,1
Brc1cccc(Nc2ncnc3ccncc23)c1NCCCn1ccnc1,9.289967300934247,actif,1
Brc1cccc(Nc2ncnc3ccncc23)c1NCCN1CCOCC1,8.489991487059765,actif,1
Brc1cccc(Nc2ncnc3ccncc23)c1NCCc1c[nH]cn1,9.040005161671584,actif,1
Brc1cccc(Nc2ncnc3ccsc23)c1,7.958607314841775,actif,1
Brc1cccc(Nc2ncnc3cnc(NCCCN4CCOCC4)cc23)c1,8.462180904926726,actif,1
Brc1cccc(Nc2ncnc3cnc(NCCCN4CCOCC4)nc23)c1,8.533799897553262,actif,1
Brc1cccc(Nc2ncnc3cnc(NCCCn4ccnc4)cc23)c1,8.267606240177031,actif,1
Brc1cccc(Nc2ncnc3cnc(NCCCn4ccnc4)nc23)c1,8.638272163982407,actif,1
Brc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)cc23)c1,8.366531544420413,actif,1
Brc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)nc23)c1,9.090016305060155,actif,1
Brc1cccc(Nc2ncnc3cnc(NCCc4c[nH]cn4)cc23)c1,8.450996737974211,actif,1
Brc1cccc(Nc2ncnc3cnc(NCCc4c[nH]cn4)nc23)c1,9.599980364934842,actif,1
Brc1cccc(Nc2ncnc3cnc(NCCc4ccccn4)cc23)c1,8.332547047110046,actif,1
Brc1cccc(Nc2ncnc3cnc(NCCn4ccnc4)nc23)c1,8.630042392653946,actif,1
Brc1cccc(Nc2ncnc3cnc(NCc4cccnc4)cc23)c1,8.139661993429007,actif,1
Brc1cccc(Nc2ncnc3cnccc23)c1,7.291196817055418,actif,1
Brc1cccc(Nc2ncnc3ncccc23)c1,6.16120441260318,actif,1
Brc1cccc(Nc2ncnc3sc4c(c23)CCCC4)c1,8.58335949266172,actif,1
Brc1cccc(Nc2ncnc3sccc23)c1,7.455931955649724,actif,1
Brc1cccc(Nc2nncc3ccccc23)c1,4.0,inactif,1
Brc1cccc(Nc2nnnc3ccccc23)c1,6.0,actif,1
Brc1cccc(Oc2ncnc3ccccc23)c1,6.121478204498794,actif,1
C#CC(=O)N1CC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccc(OC)cc5)cc4)[nH]c23)C1,7.054039296422431,actif,2
C#CC(=O)N1CC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)[nH]c23)C1,7.471083299722345,actif,2
C#CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccc(F)cc5)cc4)[nH]c23)C1,7.413412695328245,actif,2
C#CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccc(F)cc5F)cc4)[nH]c23)CC1,7.484126156288321,actif,2
C#CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccc(OC)cc5)cc4)[nH]c23)CC1,7.294136287716081,actif,2
C#CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)[nH]c23)C1,7.527243550682788,actif,2
C#CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)[nH]c23)CC1,7.511449283499555,actif,2
C#CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccccc5F)cc4)[nH]c23)CC1,7.787812395596042,actif,2
C#CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccccc5OC)cc4)[nH]c23)C1,6.982966660701219,actif,2
C#CC(=O)N1CCCC(N(C)c2nc(-c3cnn(C)c3)c3c(c2F)CNC3=O)C1,5.999132278468773,intermediaire,2
C#CC(=O)N1CCN(C(=O)Oc2cc3c(Nc4ccc(Cl)c(Cl)c4F)ncnc3cc2OC)[C@H](C)C1,9.494850021680094,actif,0
C#CC(=O)NCCn1cc(-c2ncnc3cc(OC)c(OC)cc23)c(-c2cccc(OC)c2)n1,0.5810292757123542,inactif,0
C#CC(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.10790539730952,actif,1
C#CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,8.667561540084394,actif,1
C#CCCC(=O)N1CCN(c2ccc(Nc3ncc(Cl)c(Oc4cccc(NC(=O)CCCCc5cc5=O)c4)n3)c(OC)c2)CC1,6.6777807052660805,actif,3
C#CCCCCCOc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,7.485452247339714,actif,0
C#CCCCCOc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,7.059981844992337,actif,0
C#CCCCOc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,8.596879478824182,actif,0
C#CCCCOc1cc2c(Nc3cccc(Cl)c3)ncnc2cc1OC,7.752026733638194,actif,0
C#CCCN1CCN(c2ccc(Nc3nc(OC4CCN(C(=O)C=C)CC4)c4c(-c5cncc(NC)n5)c[nH]c4n3)cc2)CC1,5.522878745280337,intermediaire,3
C#CCCn1cc(Nc2nc(OC[C@H]3CN(C(=O)C=C)C[C@@H]3OC)c3c(Cl)c[nH]c3n2)cn1,5.676129393459491,intermediaire,3
C#CCN(C)CCN(C)c1cc(OC)c(Nc2nccc(Nc3ccn(C)n3)n2)cc1NC(=O)C=C,7.650916831220409,actif,3
C#CCN(C)CCN(C)c1cc(OC)c(Nc2nccc(Nc3cn(C)c4ccccc34)n2)cc1NC(=O)C=C,8.01890657685407,actif,3
C#CCN1CCN(c2ccc(Nc3ncc4c(C)cc(=O)n(-c5cccc(NC(=O)C=C)c5)c4n3)c(OC)c2)CC1,8.094743951251548,actif,3
C#CCN1CCOC(COc2cc3ncnc(Nc4ccc(Cl)c(Cl)c4)c3cc2OC)C1,7.301029995663981,actif,0
C#CCNC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,6.518557371497695,actif,0
C#CCNC(=O)c1cc(Nc2cc(C3CC3)[nH]n2)nc(N2CCN(Cc3ccc(S(=O)(=O)F)cc3)CC2)n1,6.61261017366127,actif,2
C#CCNC/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)c(C#N)cnc2cc1OCC,7.521217132493401,actif,0
C#CCOc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,7.829738284605042,actif,0
C#CCOc1cc2c(Nc3cccc(Cl)c3)ncnc2cc1OC,7.586700235918748,actif,0
C#CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=C,7.958607314841775,actif,0
C#CCOc1cccc(Nc2ncc(C)c(Nc3cccc(NC(=O)C=C)c3)n2)c1,7.259637310505756,actif,3
C#CCOc1cccc(Nc2ncc(F)c(Nc3cccc(C(=O)C=C(C)C)c3)n2)c1,5.978810700930062,intermediaire,3
C#CCn1cc(-c2ccnc(Nc3cc(NC(=O)C=C)c(N(C)CCN(C)C)cc3OC)n2)c2ccccc21,8.13282724882135,actif,3
C#Cc1cc(C(=O)/N=c2\[nH]c3ccccc3n2[C@H]2CC[C@@H](O)CC2)cc(-c2cnn(C)c2)n1,5.826988650492649,intermediaire,2
C#Cc1cc(C=O)cc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,6.959397659885927,actif,0
C#Cc1cc(Nc2ncnc3cc(OC)c(OC)cc23)ccc1F,8.397940008672037,actif,0
C#Cc1cc(Nc2ncnc3cc(OC)c(OCCCCCCC(=O)NO)cc23)ccc1F,7.540607512240769,actif,0
C#Cc1cc(Nc2ncnc3cc(OC)c(OCCCCCCC(=O)NO)cc23)ccc1O,7.0,actif,0
C#Cc1cc(Nc2ncnc3cc(OC)c(OCCCCCCCC(=O)NO)cc23)ccc1F,7.0,actif,0
C#Cc1cc(Nc2ncnc3cc(OCCOC)c(OCCCCCCCC(=O)NO)cc23)ccc1F,7.0,actif,0
C#Cc1cc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)cc(OC(=O)C=C)c1,5.877784121727173,intermediaire,0
C#Cc1cc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)ccc1C=O,7.31695296176115,actif,0
C#Cc1cc(O)cc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,5.0,intermediaire,0
C#Cc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,6.0,actif,0
C#Cc1cc2c(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)ncnc2s1,7.1487416512809245,actif,1
C#Cc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,6.896538377905295,actif,1
C#Cc1cccc(-n2ccc3cc(OC)cc(O)c3c2=O)c1,5.51427857351842,intermediaire,2
C#Cc1cccc(-n2ccc3cc(OC)cc(OC)c3c2=O)c1,5.454692883534176,intermediaire,2
C#Cc1cccc(N2C(=O)Nc3c(C(=O)Nc4ccc(CN5CCCC5)cc4)sc4ncnc2c34)c1,7.585026652029182,actif,2
C#Cc1cccc(NC(=O)c2cc(NC(=O)CCCCCC(=O)NO)c(OC)cc2O)c1,5.950781977329818,intermediaire,2
C#Cc1cccc(NC(=O)c2cc(NC(=O)CCCCCC(=O)NO)ccc2O)c1,5.480172006224281,intermediaire,2
C#Cc1cccc(NC(=O)c2cc(NC(=O)CCCCCC(=O)NO)ccc2OC)c1,5.287350298372789,intermediaire,2
C#Cc1cccc(NC(=O)c2cc(NC(=O)CCCCCCC(=O)NO)ccc2O)c1,5.647817481888637,intermediaire,2
C#Cc1cccc(NC(=O)c2cc(OCCCCCCC(=O)NO)ccc2O)c1,6.045757490560675,actif,2
C#Cc1cccc(NC(=O)c2cccc(NC(=O)CCCCCC(=O)NO)c2)c1,5.209714835966758,intermediaire,2
C#Cc1cccc(Nc2c(C#N)cnc3cc(OC)c(OC)cc23)c1,7.214670164989233,actif,0
C#Cc1cccc(Nc2c(C#N)cnc3cc(OCCOC)c(OCCOC)cc23)c1,6.070581074285707,actif,0
C#Cc1cccc(Nc2cccc3cc(OC)c(OCCCCCCC(=O)NO)cc23)c1,8.619788758288394,actif,2
C#Cc1cccc(Nc2ccnc3cc(OC)c(OC)cc23)c1,7.515700160653214,actif,0
C#Cc1cccc(Nc2ccnc3cc(OCCOC)c(OCCOC)cc23)c1,6.732828271596986,actif,0
C#Cc1cccc(Nc2nc(C)nc3oc(C)cc23)c1,7.522878745280337,actif,1
C#Cc1cccc(Nc2nc(Cl)nc3cc(OC)c(OC)cc23)c1,5.096910013008056,intermediaire,0
C#Cc1cccc(Nc2nc(N)nc3[nH]c(CCc4ccccc4)cc23)c1,3.6989700043360174,inactif,1
C#Cc1cccc(Nc2nc(N)nc3[nH]c(CCc4ccccn4)cc23)c1,4.701146923590294,inactif,1
C#Cc1cccc(Nc2nc(N)nc3[nH]c(Cc4ccc(Cl)cc4Cl)cc23)c1,4.2580609222708015,inactif,1
C#Cc1cccc(Nc2nc(NC(=O)C(C)(C)C)nc3[nH]c(CCc4ccccn4)cc23)c1,3.6989700043360174,inactif,1
C#Cc1cccc(Nc2nc3cnc(Nc4ccc(N5CCN(C)CC5)cc4)nc3n2C(C)C)c1,8.522878745280337,actif,3
C#Cc1cccc(Nc2ncnc3[nH]c(CCc4ccccc4)cc23)c1,3.6989700043360174,inactif,1
C#Cc1cccc(Nc2ncnc3[nH]c(Cc4ccc(Cl)cc4Cl)cc23)c1,3.5228787452803374,inactif,1
C#Cc1cccc(Nc2ncnc3c2/C(=C/c2[nH]c(C(=O)NCCN4CCOCC4)cc2C)C(=O)N3)c1,7.397940008672037,actif,1
C#Cc1cccc(Nc2ncnc3c2NCc2cc(OC)c(OC)cc2O3)c1,5.688246138944246,intermediaire,1
C#Cc1cccc(Nc2ncnc3cc(O)c(OCCCCCCC(=O)NO)cc23)c1,7.0,actif,1
C#Cc1cccc(Nc2ncnc3cc(OC(C)C)c4c(c23)OCCO4)c1,7.39040559077478,actif,1
C#Cc1cccc(Nc2ncnc3cc(OC(C)COC)c4c(c23)OCCO4)c1,6.698970004336019,actif,1
C#Cc1cccc(Nc2ncnc3cc(OC)c(NC(=O)/C=C/CN(C)C4CC4)cc23)c1,8.481486060122112,actif,0
C#Cc1cccc(Nc2ncnc3cc(OC)c(NC(=O)/C=C/CN4CCCCC4)cc23)c1,7.657577319177793,actif,0
C#Cc1cccc(Nc2ncnc3cc(OC)c(NC(=O)/C=C/CNC4CC4)cc23)c1,8.102372908709558,actif,0
C#Cc1cccc(Nc2ncnc3cc(OC)c(NC(=O)CCCC(=O)NO)cc23)c1,7.0,actif,0
C#Cc1cccc(Nc2ncnc3cc(OC)c(NC(=O)CCCCC(=O)NO)cc23)c1,7.0,actif,0
C#Cc1cccc(Nc2ncnc3cc(OC)c(NC(=O)CCCCCCC(=O)NO)cc23)c1,7.0,actif,0
C#Cc1cccc(Nc2ncnc3cc(OC)c(NC4CCN(C(=O)C=C)CC4)cc23)c1,8.065501548756432,actif,0
C#Cc1cccc(Nc2ncnc3cc(OC)c(NC4CN(C(=O)C=C)C4)cc23)c1,8.958607314841775,actif,0
C#Cc1cccc(Nc2ncnc3cc(OC)c(OC)cc23)c1,7.721246399047171,actif,0
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCC(=O)NO)cc23)c1,7.0,actif,0
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCC(=O)NO)cc23)c1,7.0,actif,0
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCC(=O)NO)cc23)c1,7.0,actif,0
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCC(=O)NO)cc23)c1,7.2403321553103694,actif,0
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCC(=O)Nc4ccc(S(N)(=O)=O)cc4)cc23)c1,7.311135431945208,actif,0
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCC(=O)NO)cc23)c1,7.281498311132726,actif,0
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCC(=O)NO)cc23)c1,8.619788758288394,actif,0
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCCN/C(=N\C#N)Nc4cccnc4)cc23)c1,9.289036881004725,actif,0
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCCN/C(=N\C#N)Nc4ccncc4)cc23)c1,9.314258261397736,actif,0
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCN/C(=N\C#N)Nc4cccnc4)cc23)c1,9.42021640338319,actif,0
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCN/C(=N\C#N)Nc4ccncc4)cc23)c1,9.449771646944908,actif,0
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCn4ccnc4[N+](=O)[O-])cc23)c1,9.30102999566398,actif,0
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCN/C(=N\C#N)Nc4cccnc4)cc23)c1,9.309803919971486,actif,0
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCN/C(=N\C#N)Nc4ccncc4)cc23)c1,9.585026652029182,actif,0
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCn4ccnc4[N+](=O)[O-])cc23)c1,9.309803919971486,actif,0
